City Number,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
129,Mâncio Lima,100,BR,1611994600,96,-7.6142,-72.8958,72.09,2.19
130,Bambous Virieux,75,MU,1611994601,66,-20.3428,57.7575,87.8,11.5
131,Tsimmerbude,75,RU,1611994601,93,54.675,20.1347,32.0,11.18
132,Tuatapere,0,NZ,1611994601,78,-46.1333,167.6833,54.05,3.58
133,Arraial do Cabo,72,BR,1611994602,84,-22.9661,-42.0278,76.01,23.38
134,San Cristobal,92,VE,1611994602,77,7.7669,-72.225,61.56,1.21
135,Healdsburg,75,US,1611994602,93,38.6105,-122.8692,43.0,2.21
136,Bethel,1,US,1611994436,61,41.3712,-73.414,10.0,4.61
137,Harper,56,LR,1611994603,86,4.375,-7.7169,78.89,4.72
138,Cabo San Lucas,46,MX,1611994337,90,22.8909,-109.9124,64.0,7.43
139,Mackay,40,AU,1611994603,74,-21.15,149.2,82.4,20.71
140,Zapolyarnyy,90,RU,1611994604,93,69.4154,30.8136,24.8,6.91
141,Narsaq,75,GL,1611994604,28,60.9167,-46.05,42.8,28.77
142,Vilcún,20,CL,1611994604,94,-38.65,-72.2333,55.4,2.3
143,Isangel,17,VU,1611994604,75,-19.55,169.2667,78.53,14.2
144,Mossamedes,90,AO,1611994605,73,-15.1961,12.1522,75.2,6.31
145,Faanui,100,PF,1611994605,68,-16.4833,-151.75,81.32,6.73
146,Salalah,75,OM,1611994605,47,17.0151,54.0924,78.8,9.22
147,Taloqan,54,AF,1611994605,36,36.7361,69.5345,54.66,4.61
148,Hot Springs,1,US,1611994606,61,34.5037,-93.0552,48.2,4.36
149,Yumen,0,CN,1611994606,64,40.2833,97.2,33.1,26.96
150,East London,40,ZA,1611994606,78,-33.0153,27.9116,75.2,4.61
151,Shediac,90,CA,1611994606,67,46.2198,-64.5411,12.99,14.97
152,Cocachacra,100,PE,1611994607,80,-17.0883,-71.7575,66.22,2.06
153,Itarema,51,BR,1611994607,85,-2.9248,-39.9167,77.67,11.41
154,Fare,100,PF,1611994608,67,-16.7,-151.0167,81.27,6.24
155,Nuuk,0,GL,1611994608,80,64.1835,-51.7216,23.0,8.05
156,Mount Gambier,90,AU,1611994415,68,-37.8333,140.7667,64.4,12.66
157,Virginia Beach,1,US,1611994580,47,36.8529,-75.978,30.99,12.66
158,Māndal,0,IN,1611994609,17,25.45,74.5667,74.89,1.1
159,Talnakh,0,RU,1611994609,70,69.4865,88.3972,-30.19,4.41
160,Margate,100,GB,1611994504,90,51.3813,1.3862,39.99,3.0
161,Gonbad-e Kāvūs,90,IR,1611994610,87,37.25,55.1672,51.8,4.61
162,Kaitangata,5,NZ,1611994610,78,-46.2817,169.8464,55.99,8.01
163,Kabelvåg,7,NO,1611994610,61,68.2114,14.4817,21.0,1.01
164,Jumla,0,NP,1611994611,26,29.2747,82.1838,51.13,5.88
165,Koslan,100,RU,1611994611,97,63.4564,48.8989,22.66,9.6
166,Lebu,5,CL,1611994611,91,-37.6167,-73.65,53.69,6.91
167,Lüderitz,0,NA,1611994612,28,-26.6481,15.1594,75.79,23.44
168,Mataura,0,NZ,1611994612,77,-46.1927,168.8643,54.23,3.8
169,Nacimiento,94,CL,1611994612,93,-37.5,-72.6667,58.78,2.24
170,Constitución,100,CL,1611994613,94,-35.3333,-72.4167,60.33,7.76
171,Kawalu,100,ID,1611994613,74,-7.3817,108.2082,80.78,0.16
172,Hitchin,90,GB,1611994613,93,51.9531,-0.2652,37.99,19.57
173,Fianarantsoa,2,MG,1611994614,54,-21.4333,47.0833,79.18,4.99
174,Alofi,100,NU,1611994509,94,-19.0595,-169.9187,77.0,8.05
175,Mountain Home,1,US,1611994614,89,43.133,-115.6912,32.0,7.0
176,Bilibino,0,RU,1611994615,80,68.0546,166.4372,-25.38,4.63
177,Beringovskiy,24,RU,1611994615,84,63.05,179.3167,-19.97,9.31
178,Tuktoyaktuk,79,CA,1611994615,83,69.4541,-133.0374,-26.39,2.39
